OBJECTID,country,project_id,project_name,group_id,group_name,project_status,species,grant_reference,hectares,phase,globalid
281,Scotland,103000000004600,Darrochwids - Merdrum,103000000000757,Scottish Forest Alliance ,Validated,Broadleaved (>80%),No Grant,50.54783589,4,b1ccc822-0230-4b01-b284-ad94ee6d38d5
282,Scotland,103000000004600,Darrochwids - Merdrum,103000000000757,Scottish Forest Alliance ,Validated,Open ground,No Grant,24.16956732,4,461323de-51c2-4d40-874e-51a69c4a95fb
283,Scotland,103000000004603,Darrochwids - Coynachie,103000000000757,Scottish Forest Alliance ,Validated,Existing woodland,No Grant,31.82149921,4,69210224-6684-4edd-a14e-ac5f6a786282
284,Scotland,103000000004603,Darrochwids - Coynachie,103000000000757,Scottish Forest Alliance ,Validated,Broadleaved (>80%),No Grant,137.79559457,4,b9f5f5ac-e8e5-416a-a052-6dfc7427d387
285,Scotland,103000000004603,Darrochwids - Coynachie,103000000000757,Scottish Forest Alliance ,Validated,Open ground,No Grant,104.58971658,4,fcec4bab-9502-4593-8141-6041c30be881
286,Scotland,103000000004603,Darrochwids - Coynachie,103000000000757,Scottish Forest Alliance ,Validated,Mixed predominantly broadleaved (50-80%),No Grant,27.56973852,4,f3fd6d0b-f118-4479-ad92-0fab1899b2b2
287,Scotland,103000000004603,Darrochwids - Coynachie,103000000000757,Scottish Forest Alliance ,Validated,Mixed predominantly conifer (50-80%),No Grant,0.74047684,4,1dbb8120-1b38-4204-a58e-f3c4cbfaf35e
288,Wales,104000000013990,Coed y Foel Pasture,n/a,n/a,Validated,Broadleaved (>80%),Glastir 7426711,14.12279699,4,73b29bc6-117c-412d-894a-6a7bc1ca43e7
289,Wales,104000000014100,New House Farm PPP,n/a,n/a,Validated,Broadleaved (>80%),Glastir 7473764,14.0669048,4,acc52bab-2095-46d9-be0c-2f6ed11246ee
290,England,104000000013727,Sunny Brow,103000000006547,Forest Carbon Group 4,Validated,Broadleaved (>80%),EWGS 38078,3.63515975,4,b72f2f8c-b441-4cc8-8efe-8552e1fb175a
291,Scotland,104000000013732,Nether Kidston,103000000006547,Forest Carbon Group 4,Validated,Broadleaved (>80%),RDC_RP/3825415/644/0012/4695360/S/003,4.34661018,4,5ec1fb3f-1c31-42b4-9193-b877871e3cc6
292,England,104000000013734,Montgomery,103000000006547,Forest Carbon Group 4,Validated,Broadleaved (>80%),Changing Landscapes Scheme 2014.05,2.77515779,4,56c35993-d006-4f78-91e5-6a3ad051034e
293,England,104000000013736,Meldon,103000000006547,Forest Carbon Group 4,Validated,Mixed predominantly conifer (50-80%),EWGS 38002,7.25556214,4,4430bf15-b9c6-4350-9668-fd67b919536c
294,England,104000000013728,Madresfield 2,103000000006547,Forest Carbon Group 4,Validated,Mixed predominantly conifer (50-80%),EWGS 38067,3.10611683,4,2f416643-2240-47d6-bb5e-e7510e5baae1
295,Scotland,104000000013730,Lynbreck,103000000006547,Forest Carbon Group 4,Validated,Mixed predominantly broadleaved (50-80%),16FGS 07095,17.94239746,4,ba78dc14-a0b6-4e24-8f18-6908b7b6d93e
296,England,104000000013726,Lulworth,103000000006547,Forest Carbon Group 4,Validated,Conifer (>80%),EWGS 38120,13.02006847,4,3f0f2490-d498-4023-bf18-b9c503d5ab4a
297,Scotland,104000000013729,Langlee Mains,103000000006547,Forest Carbon Group 4,Validated,Broadleaved (>80%),16FGS 07095,14.28604804,4,07e2c184-d2ed-4bc7-b286-77497e614517
298,Scotland,104000000013737,Auchintender,103000000006547,Forest Carbon Group 4,Validated,Conifer (>80%),16FGS 11237,48.59890177,4,464c721a-3984-4c67-bfac-4c793ff48315
299,Scotland,104000000013731,Aswanley Farm,103000000006547,Forest Carbon Group 4,Validated,Broadleaved (>80%),16FGS 07815,6.68622886,4,0615305a-89ab-4758-8ed2-2375e382504d
300,Scotland,104000000013735,Arnotts' Loan,103000000006547,Forest Carbon Group 4,Validated,Broadleaved (>80%),FGS 12143,27.75131083,4,3a7d63ff-840e-4e4b-aec0-44102c678ddc
301,Scotland,104000000013739,Ledmore,103000000006547,Forest Carbon group 4,Validated,Mixed predominantly conifer (50-80%),16FGS 11477,89.47547527,4,21c60e2e-5d08-4e74-99de-3dec70b7b078
302,Scotland,104000000013733,Druim Suardalain,103000000006547,Forest Carbon Group 4,Validated,Broadleaved (>80%),16FGS 06454,188.98949612,4,b23bc4b0-99b1-4104-b1cc-8b8f65560a28
303,Wales,104000000013212,Cwm Fagor 2016-17,103000000005946,Glastir Larger Projects (>5ha) 2016-18,Verified,Mixed predominantly broadleaved (50-80%),Glastir P0000137,34.76318458,4,902a0da1-f3f9-4746-aca5-38925a8ffc45
304,Wales,104000000013206,Garthmyn Isaf,103000000005946,GrwpCoed.Cymru 1,Validated,Broadleaved (>80%),Glastir P0000060,30.2918482,4,36c447af-bcc5-4242-9bf5-9c5d0969cc2a
305,England,104000000014134,Smithills Phase 1,n/a,n/a,Validated,Broadleaved (>80%),HLF HG-14-03017,10.34484993,4,7068e25b-e319-4dfb-bdae-f4a83edea78d
306,England,104000000013738,Holmeshead & Pullscar,103000000006547,Forest Carbon Group 4,Validated,Broadleaved (>80%),38074 & 38062,20.61341885,4,920e1c05-3511-405a-9fae-d1d5ffb3f06e
307,England,104000000013738,Holmeshead & Pullscar,103000000006547,Forest Carbon Group 4,Validated,Existing woodland,38074 & 38062,2.50317196,4,f520efba-c20c-4de1-912c-941b0ca51ac4
